state,district,origin_of_challenge,date_of_challenge_removal,type_of_ban,author,title,secondary_author_s,illustrator_s,translator_s
Alaska,Anchorage School District,Administrator,2021-10-01T00:00:00Z,Banned in Libraries and Classrooms,"Kobabe, Maia",Gender Queer: A Memoir,NA,NA,NA
Arkansas,Siloam Springs School District,Formal Challenge,2022-01-01T00:00:00Z,Banned in Libraries and Classrooms,"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Maas, Sarah J.",A Court of Frost and Starlight (A Court of Thorns and Roses Series),NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Maas, Sarah J.",A Court of Mist and Fury (A Court of Thorns and Roses Series),NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Maas, Sarah J.",A ​Court of Silver Flames (A Court of Thorns and Roses Series),NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Maas, Sarah J.",A Court of Thorns and Roses (A Court of Thorns and Roses Series),NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Maas, Sarah J.",A Court of Wings and Ruin (A Court of Thorns and Roses Series),NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Johnson, George M.",All Boys Aren't Blue,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Reed, Amy",Beautiful,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Niven, Jennifer",Breathless,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Hopkins, Ellen",Crank (Crank Series),NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Arnold, Elana K.",Damsel,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Maas, Sarah J.",Empire of Storms (Throne of Glass Series),NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Blume, Judy",Forever...,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2021-11-01T00:00:00Z,Banned in Libraries and Classrooms,"Kobabe, Maia",Gender Queer: A Memoir,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Maas, Sarah J.",House of Earth and Blood (Crescent City Series),NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Maas, Sarah J.",House of Sky and Breath (Crescent City Series),NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Arnold, Elana K.",Infandous,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Scheeres, Julia",Jesus Land: A Memoir,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Lo, Malinda",Last Night at the Telegraph Club,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Scott, Elizabeth",Living Dead Girl,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Sebold, Alice",Lucky,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Kaur, Rupi",Milk and Honey,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Jackson, Tiffany D.",Monday's Not Coming,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Rooney, Sally",Normal People,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Smyth, Ciara",Not My Problem,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Pérez, Ashley Hope",Out of Darkness,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Hopkins, Ellen",People Kill People,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,Sapphire,Push,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Arnold, Elana K.",Red Hood,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Vonnegut Jr., Kurt",Slaughterhouse-Five,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"McCormick, Patricia",Sold,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Andrews, Jesse",The Haters,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Myracle, Lauren",The Infinite Moment of Us,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Hosseini, Khaled",The Kite Runner,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Reed, Amy",The Nowhere Girls,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Chbosky, Stephen",The Perks of Being a Wallflower,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Dawson, Juno",This Book Is Gay,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Tamaki, Mariko",This One Summer,NA,"Tamaki, Jillian",NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Hopkins, Ellen",Tilt,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Hopkins, Ellen",Triangles,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Hopkins, Ellen",Tricks (Tricks Series),NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Arnold, Elana K.",What Girls Are Made Of,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Kepnes, Caroline",You: A Novel of Dark Obsession (You Series),NA,NA,NA
Florida,Broward County Public Schools,Administrator,2022-06-01T00:00:00Z,Banned in Libraries and Classrooms,"Schiffer, Miriam B.",Stella Brings the Family,NA,"Clifton-Brown, Holly",NA
Florida,Broward County Public Schools,Administrator,2022-06-01T00:00:00Z,Banned in Libraries and Classrooms,"Polacco, Patricia",In Our Mothers' House,NA,NA,NA
Florida,Broward County Public Schools,Administrator,2022-06-01T00:00:00Z,Banned in Libraries and Classrooms,"Kilodavis, Cheryl",My Princess Boy,NA,"DeSimone, Suzanne",NA
Florida,Broward County Public Schools,Administrator,2022-06-01T00:00:00Z,Banned in Libraries and Classrooms,"Fierstein, Harvey",The Sissy Duckling,NA,"Cole, Henry",NA
Florida,Broward County Public Schools,Administrator,2022-06-01T00:00:00Z,Banned in Libraries and Classrooms,"Richardson, Justin",And Tango Makes Three,"Parnell, Peter","Cole, Henry",NA
Florida,Clay County District Schools,Administrator,2022-06-01T00:00:00Z,Banned Pending Investigation,"Sebold, Alice",Lucky,NA,NA,NA
Florida,Clay County District Schools,Administrator,2021-12-01T00:00:00Z,Banned in Libraries and Classrooms,"Johnson, George M.",All Boys Aren't Blue,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Sorell, Traci",At the Mountain's Base,NA,"Alvitre, Weshoyot",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Cline-Ransome, Lesa",Before She Was Harriet,NA,"Ransome, James E.",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Rockliff, Mara",Chik Chak Shabbat,NA,"Brooker, Kyrsten",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Garcia, Isabella",Cow on the Town: Practicing the Ow Sound,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Morales, Yuyi",Dreamers,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Rattigan, Jama Kim",Dumpling Soup,NA,"Hsu-Flanders, Lillian",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Noble Maillard, Kevin",Fry Bread: A Native American Family Story,NA,"Martinez-Neal, Juana",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Lumbard, Rabiah York",The Gift of Ramadan,NA,"Horton, Laura K.",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Tompert, Ann",Grandfather Tang's Story,NA,"Parker, Robert Andrew",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Ho, Minfong",Hush! A Thai Lullaby,NA,"Meade, Holly",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Díaz, Junot",Islandborn,NA,"Espinosa, Leo",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Morales, Yuyi",Little Night/Nochecita,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Velásquez, Eric",Looking for Bongo,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Kuntz, Doug",Lost and Found Cat : The True Story of Kunkush's Incredible Journey,"Shrodes, Amy","Cornelison, Sue",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Mora, Pat",Love to Mama: A Tribute To Mothers,NA,"Barragán M., Paula S.",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Meddour, Wendy",Lubna and Pebble,NA,"Egneus, Daniel",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Joosten, Michael",My Two Dads and Me,NA,"Zenou, Izak",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Joosten, Michael",My Two Moms and Me,NA,"Zenou, Izak",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Anderson, Airlie",Neither,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Jules, Jacqueline",Never Say a Mean Word Again: A Tale from Medieval Spain,NA,"Bernhard, Durga Yael",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Park, Linda Sue",Nya's Long Walk: A Step at a Time,NA,"Pinkney, Brian",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Scott, Ann Herbert",On Mother's Lap,NA,"Coalson, Glo",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Bunting, Eve",One Green Apple,NA,"Lewin, Ted",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Martin, Rafe",The Rough-Face Girl,NA,"Shannon, David",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Lauture, Denize",Running the Road to ABC,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Nyong'o, Lupita",Sulwe,NA,"Harrison, Vashti",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Mitchell, Margaree King",Uncle Jed's Barber Shop,NA,"Ransome, James E.",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Wells, Rosemary",Yoko (Yoko Series),NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Muth, Jon J.",Zen Shorts (Zen Series),NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Ewert, Marcus","10,000 Dresses",NA,"Ray, Rex",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Deedy, Carmen Agra",14 Cows for America,"Naiyomah, Wilson Kimeli","Gonzalez, Thomas",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Dorros, Arthur",Abuela,NA,"Kleven, Elisa",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Gonzalez, Xelena",All Around Us,NA,"Garcia, Adriana M.",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Martinez-Neal, Juana",Alma and How She Got Her Name,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Kahn, Hena",Amina's Voice (Amina's Voice Series),NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"MacGill-Callahan, Sheila",And Still the Turtle Watched,NA,"Moser, Barry",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Johnston, Tony",Any Small Goodness: A Novel of the Barrio,NA,"Colon, Raul",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Dooley, Sarah",Ashes to Asheville,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Moss, Marissa",Barbed Wire Baseball: How One Man Brought Hope to the Japanese Internment Camps of WWII,NA,"Shimizu, Yuko",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Berenstain, Jan",The Berenstain Bears and the Big Question (The Berenstain Bears Series),"Berenstain, Stan",NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Peck, Richard",The Best Man,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Perkins, Mitali",Between Us and Abuela: A Family Story from the Border,NA,"Palacios, Sara",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Khan, Rukhsana",Big Red Lollipop,NA,"Blackall, Sophie",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Schlissel, Lillian",Black Frontiers: A History of African American Heroes in the Old West,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Snyder, Dianne",The Boy of the Three-Year Nap,NA,"Say, Allen",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Uchida,Yoshiko",The Bracelet,NA,"Yardley, Joanna",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,Chief Seattle,"Brother Eagle, Sister Sky",NA,"Jeffers, Susan",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Hopkinson, Deborah",Carter Reads the Newspaper,NA,"Tate, Don",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Daemicke, Songju Ma",A Case of Sense,NA,"Bersani, Shennen",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Cavell-Clarke, Steffi",Celebrating Different Beliefs,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Chambers, Veronica","Celia Cruz, Queen of Salsa",NA,"Maren, Julie",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Slade, Suzanne",Climbing Lincoln's Steps: The African American Journey,NA,"Bootman, Colin",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Joseph, Lynn",The Color of My Words,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,Yin,Coolies,NA,"Soentpiet, Chris K.",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Bruchac, Joseph",Crazy Horse's Vision,NA,"Nelson, S.D.",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Uhlberg, Myron","Dad, Jackie, and Me",NA,"Bootman, Colin",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Newman, Lesléa","Daddy, Papa, and Me",NA,"Thompson, Carol",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Larson, Kirby",Dash (Dogs of World War II Series),NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Heide, Florence Parry",The Day of Ahmed's Secret,"Gilliland, Judith Heide","Lewin, Ted",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Johnston, Tony",Day of the Dead,NA,"Winter, Jeanette",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Bunting, Eve",A Day's Work,NA,"Himler, Ronald",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Pak, Soyung",Dear Juno,NA,"Hartung, Susan Kathleen",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Lin, Grace",Dim Sum for Everyone!,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Engle, Margarita",A Dog Named Haku: A Holiday Story from Nepal,"Karanjit, Amish; Karanjit, Nicole","Jeyaveeran, Ruth",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Fritz, Jean",The Double Life of Pocahontas,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Cosson, M. J.",A Dream Come True: Coming to America from Vietnam-1975,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Monjo, F.N.",The Drinking Gourd: A Story of the Underground Railroad,NA,"Brenner, Fred",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Engle, Margarita",Drum Dream Girl: How One Girl's Courage Changed Music,NA,"López, Rafael",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Bulla, Clyde Robert",Eagle Feather,NA,Tom Two Arrows,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Bruchac, Joseph",Eagle Song,NA,"Andreasen, Dan",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Millner, Denene",Early Sunday Morning,NA,"Brantley-Newton, Vanessa",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Luby, Brittany",Encounter,NA,"Goade, Michaela",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Clements, Andrew",Extra Credit,NA,"Elliott, Mark",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"O'Leary, Sara",A Family Is a Family Is a Family,NA,"Leng, Qin",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Jordan-Fenton, Christy",Fatty Legs: A True Story,"Pokiak-Fenton, Margaret","Amini-Holmes, Liz",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Sehgal, Surishtha",Festival of Colors,"Sehgal, Kabir","Harrison, Vashti",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Bruchac, Joseph",The First Strawberries,NA,"Vojtech, Anna",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Nye, Naomi Shihab",The Flag of Childhood: Poems From the Middle East,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Lorenzi, Natalie Dias",Flying the Dragon,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Williams, Karen Lynn","Four Feet, Two Sandals","Mohammed, Khadra","Chayka, Doug",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Cervantes, Angela","Gaby, Lost and Found",NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Zia, Farhana",The Garden of My Imaan,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Lyons, Kelly Starling",Going Down Home with Daddy,NA,"Minter, Daniel",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Marsden, Carolyn",The Gold-Threaded Dress,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Polonsky, Ami",Gracefully Grayson,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Birtha, Becky",Grandmama's Pride,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Greenfield, Eloise",The Great Migration: Journey to the North,NA,"Gilchrist, Jan Spivey",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Turner, Pamela S.",Hachiko: The True Story of a Loyal Dog,NA,"Nascimbene, Yan",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Lord, Cynthia",A Handful of Stars,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Tavares, Matt",Henry Aaron's Dream,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Robinson, Sharon",The Hero Two Doors Down: Based on the True Story of Friendship between a Boy and a Baseball Legend,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Robertson, Robbie",Hiawatha and the Peacemaker,NA,"Shannon, David",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Jennings, Jazz",I am Jazz,"Herthel, Jessica","McNicholas, Shelagh",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"King, Dedie",I See the Sun in Afghanistan,NA,"Inglese, Judith","Vahidi, Mohd"
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Polacco, Patricia",In Our Mothers' House,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"McManis, Charlene Willing",Indian No More,"Sorell, Traci",NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Dumas, Firoozeh","It Ain't So Awful, Falafel",NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Maclear, Kyo",It Began with a Page: How Gyo Fujikawa Drew the Way,NA,"Morstad, Julie",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Blake, Ashley Herring",Ivy Aberdeen's Letter to the World,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Florence, Debbi Michiko","Jasmine Toguchi, Flamingo Keeper (Jasmine Toguchi Series)",NA,"Vukovic, Elizabet",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Medina, Juana",Juana & Lucas (Juana and Lucas Series),NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Love, Jessica",Julián Is a Mermaid (Julián Series),NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Martin Jr., Bill",Knots on a Counting Rope,"Archambault, John","Rand, Ted",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Faruqi, Reem",Lailah's Lunchbox: A Ramadan Story,NA,"Lyon, Lea",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"dePaola, Tomie",The Legend of the Bluebonnet (Legends Series),NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Connors, Kathleen",The Life of Rosa Parks (Famous Lives Series),NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Laird, Elizabeth",A Little Piece of Ground,"Nimr, Sonia","Neal, Bill",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Lorenzi, Natalie Dias",A Long Pitch Home,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Rosenblatt, Darcey",Lost Boys,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Behar, Ruth",Lucky Broken Girl,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Grimes, Nikki",Make Way for Dyamonde Daniel (Dyamonde Daniel Series),NA,"Christie, R. Gregory",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Corey, Shana",Malala: A Hero for All (Step into Reading Series),NA,"Sayles, Elizabeth",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Brown, Monica",Marisol McDonald Doesn't Match (Marisol McDonald Series),NA,"Palacios, Sara",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Duncan, Alice Faye","Memphis, Martin, and the Mountaintop: The Sanitation Strike of 1968",NA,"Christie, R. Gregory",NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Curtis, Christopher Paul",The Mighty Miss Malone,NA,NA,NA
Florida,Duval County Public Schools,Administrator,2022-01-01T00:00:00Z,Banned Pending Investigation,"Levy, Dana Alison",The Misadventures of the Family Fletcher (Family Fletcher Series),NA,NA,NA
